,SHIPMENT ID,CUSTOMER,DISTANCE,CASES,WEIGHT,VOLUME,SOURCE LOCATION ID,ORIGIN NAME,ORIGIN CITY,ORIGIN STATE,ORIGIN ZIP,DEST LOCATION ID,CONSIGNEE NAME,DEST CITY,DEST STATE,DEST ZIP,ACTUAL CARRIER,ACTUAL MODE,ACTUAL EQUIP,LINEHAUL COSTS,FUEL COSTS,ACC. COSTS,TOTAL ACTUAL COST,PU_APPT,DL_APPT,PU_ARRIVAL (X3),PU_DEPARTED (AF),DL_ARRIVAL (X1),DL_DEPARTED (D1)
2883,MTNORAM.B21111M00061,-8.13096E+17,168.08,1477,42943.3,14.77,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,-3.41217E+18,8.7415E+18,INDIANAPOLIS,IN,46236,5.75705E+18,MTNORAM.TL,MTNORAM.53DV,827,52.1,0,879.1,4/26/2021 7:00,4/26/2021 14:00,4/26/2021 7:00,4/26/2021 13:52,4/26/2021 14:00,4/26/2021 15:00
2884,MTNORAM.B21111M00060,-8.13096E+17,884.72,1537,44327.62,15.37,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,2.80827E+18,-4.92543E+18,BRYAN,TX,77807,5.38831E+18,MTNORAM.TL,MTNORAM.53DV,2481.26,274.26,0,2755.52,4/26/2021 12:00,4/28/2021 15:00,4/26/2021 10:00,4/26/2021 12:00,4/28/2021 7:00,4/28/2021 10:15
2885,MTNORAM.B21111M00062,-8.13096E+17,486,1629,42382.39,16.29,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,7.23279E+18,-3.67339E+17,NASHVILLE,TN,37207,5.75705E+18,MTNORAM.TL,MTNORAM.53DV,1603,150.66,0,1753.66,4/29/2021 11:00,4/30/2021 7:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2886,MTNORAM.B21111M00065,-8.13096E+17,993.3,2149,43457.19,21.49,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,-8.06358E+18,-4.60061E+18,BOW,NH,3304,-5.72248E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1573,361.79,70,2004.79,4/28/2021 3:00,4/30/2021 6:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2887,MTNORAM.B21111M00063,-8.13096E+17,910.7,1513,43150.81,15.13,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,1.72917E+18,1.92023E+18,SUMMERVILLE,SC,29483,-5.72248E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1495,343.85,70,1908.85,4/28/2021 3:00,4/25/2021 7:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2888,MTNORAM.B21111M00067,-8.13096E+17,1713.41,2017,42096.38,20.17,-5.40278E+17,4.85507E+18,BOLINGBROOK,IL,60440,3.02778E+18,-6.11466E+18,SANTA FE SPRINGS,CA,90670,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,2440,531.16,0,2971.16,4/26/2021 14:00,5/3/2021 7:30,4/26/2021 12:00,4/26/2021 13:00,NO EVENT,NO EVENT
2889,MTNORAM.B21111M00068,-8.13096E+17,1001.6,1008,41017.54,10.08,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,-1.61935E+18,7.50802E+18,TAUNTON,MA,2780,-5.72248E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1540,354.2,70,1964.2,4/28/2021 3:00,5/2/2021 7:05,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2890,MTNORAM.B21111M00072,-8.13096E+17,325.2,1188,41342.4,11.88,-2.2884E+18,7.69125E+18,LOUISVILLE,KY,40216,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,-8.5818E+18,MTNORAM.TL,MTNORAM.53DV,866,100.81,0,966.81,4/22/2021 0:00,4/23/2021 12:00,4/22/2021 12:00,4/22/2021 13:00,4/23/2021 12:00,4/23/2021 13:00
2891,MTNORAM.B21111M00070,-8.13096E+17,103.88,1064,43935.34,10.64,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,5.06628E+18,-9.21856E+18,MILWAUKEE,WI,53225,5.75705E+18,MTNORAM.TL,MTNORAM.53DV,567,32.2,0,599.2,4/26/2021 14:00,4/27/2021 9:00,4/26/2021 13:45,4/26/2021 16:00,4/27/2021 8:40,4/27/2021 11:00
2892,MTNORAM.B21111M00071,-8.13096E+17,823.5,1626,41972.32,16.26,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,7.00229E+18,-3.09539E+18,RICHMOND,VA,23220,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,2690,255.28,0,2945.28,5/2/2021 12:00,5/4/2021 8:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
